Time,Number of Cells
1,737
2,744
3,819
4,986
5,1215
6,1541
7,1783
8,1625
9,2224
10,1947
11,2360
12,2301
13,2467
14,2549
15,3259
16,3422
17,3106
18,3447
19,3816
20,3996
21,4157
22,4372
23,4699
24,4810
25,4946
26,4974
27,5047
28,4909
29,4874
30,4741
31,4755
32,5990
33,5886
34,5869
35,5727
36,5485
37,6615
38,6184
39,5581
40,5017
41,4728
42,6216
43,5876
44,5487
45,5357
46,5322
47,5415
48,4617
49,4722
50,4675
51,4766
52,4842
53,4795
54,4886
55,4902
56,4996
57,4986
58,4939
59,5035
60,5078
61,5132
62,5197
63,5331
64,5456
65,5412
66,5530
67,5647
68,5723
69,5727
70,5701
71,5806
72,6005
73,5945
74,5873
75,6009
76,6019
77,6083
78,6029
79,6176
80,6292
81,6517
82,6473
83,6772
84,7004
85,6953
86,7113
87,7241
88,7452
89,7454
90,7598
91,7812
92,7832
93,8064
94,8102
95,8156
96,8135
97,8314
98,8286
99,8353
100,8460
101,8553
102,8545
103,8530
104,8601
105,8770
106,8998
107,9047
108,9295
109,9314
110,9211
111,9420
112,9492
113,9719
114,9808
115,9976
116,10164
117,10260
118,10212
119,10147
120,10086
121,10181
122,10287
123,10158
124,10080
125,10130
126,10138
127,10179
128,10197
129,10385
130,10501
131,10581
132,10649
133,10797
134,10887
135,10950
136,10952
137,11005
138,11009
139,11132
140,11010
141,11044
142,11151
143,11035
144,11131
145,11181
146,11106
147,11069
148,11123
149,11130
150,11345
151,11209
152,11294
153,11298
154,11553
155,11522
156,11532
157,11582
158,11355
159,11393
160,11373
161,11457
162,11433
163,11385
164,11225
165,11221
166,11288
167,11000
168,11094
169,10989
170,11069
171,11216
172,10921
173,11197
174,11173
175,11137
176,11294
177,11255
178,11119
179,11084
180,11025
181,11076
182,11002
183,11044
184,11117
185,11019
186,11013
187,10938
188,11036
189,10778
190,10805
191,10973
